Participant_ID,Name,Age,Gender,State,College,Event_Name,Event_Date,Feedback_Text,Satisfaction_Level
P184,Peyton,51,Female,Maryland,Yale University,Dance,2024-11-05,The dance ensemble was passable synchronized. The stage presence was reasonable. I really enjoyed the experience.,Dissatisfied
P185,Vincent,63,Male,South Dakota,University of Toronto,Stand-up Comedy,2024-11-04,The jokes were excellent. The comedian's timing was extraordinary. I would probably recommend this to friends.,Very Satisfied
P186,Nora,34,Female,Arkansas,University of Illinois Urbana-Champaign,Music,2024-11-03,The band's performance was forgettable and the acoustics were inadequate. The venue was well-suited to this type of event.,Very Dissatisfied
P187,Ralph,26,Female,Rhode Island,University of Southern California,Cooking Competition,2024-11-01,The ingredient usage was flawed. The time management was flawed. I would probably recommend this to friends.,Dissatisfied
P188,Molly,55,Male,Rhode Island,Vanderbilt University,Debate,2024-11-03,The debating technique was splendid. The overall engagement was splendid. I would probably recommend this to friends.,Very Satisfied
P189,Eugene,30,Male,Texas,University of Toronto,Art Exhibition,2024-11-01,The artistic technique was exceptional. The gallery layout was excellent.,Very Satisfied
P190,Stella,54,Female,New Mexico,Rice University,Stand-up Comedy,2024-11-02,The comedic delivery was fantastic. The material was splendid.,Very Satisfied
P191,Russell,53,Female,Minnesota,New York University,Drama,2024-11-03,The dramatic tension was mediocre. The character development was forgettable. I liked the occasion.,Very Dissatisfied
P192,Kylee,57,Male,Missouri,Boston University,Art Exhibition,2024-11-05,The conceptual depth was unsatisfactory. The presentation was weak.,Very Dissatisfied
P193,Bobby,47,Male,South Dakota,University of Washington,Drama,2024-11-01,The dramatic tension was decent. The character development was impressive.,Satisfied
P194,Autumn,23,Male,New Mexico,University of Sydney,Fashion Show,2024-11-04,The fabric choices were excellent. The overall aesthetic was remarkable. I appreciated the event.,Satisfied
P195,Mason,62,Female,North Carolina,University of Illinois Urbana-Champaign,Poetry,2024-11-02,The wordplay was unsatisfactory. The overall performance was underwhelming. Looking forward to future performances.,Very Dissatisfied
P196,Sophie,49,Male,Iowa,Stanford University,Art Exhibition,2024-11-02,The visual impact of the exhibition was magnificent. The thematic coherence was first-rate.,Satisfied
P197,Philip,57,Male,Vermont,Princeton University,Dance,2024-11-01,"The choreography was weak. Overall, the dancers showed flawed skill. ",Very Dissatisfied
P198,Elena,44,Female,Vermont,Imperial College London,Debate,2024-11-03,The logical structure was first-rate. The rhetorical skill was impressive. I would definitely recommend this to friends.,Very Satisfied
P199,Louis,30,Male,Oklahoma,MIT,Fashion Show,2024-11-03,The fabric choices were bland. The overall aesthetic was standard. I valued the event.,Dissatisfied
P200,Eva,60,Female,Washington,University of Wisconsin-Madison,Music,2024-11-05,The musical arrangement was bland. The vocalists were unsatisfactory. It was my second time attending such an event.,Very Dissatisfied
P201,Liam,36,Male,Wisconsin,University of Chicago,Stand-up Comedy,2024-11-04,The jokes were disappointing. The comedian's timing was forgettable. ,Very Dissatisfied
P202,Ruby,25,Male,New Mexico,"University of California, San Diego",Film Screening,2024-11-03,The directorial approach was phenomenal. The character development was extraordinary. Looking forward to future performances.,Satisfied
P203,Blake,42,Female,New York,Indian Institute of Technology Delhi,Cooking Competition,2024-11-01,The dish presentation was forgettable. The flavor combinations were tolerable. ,Dissatisfied
P204,Kennedy,32,Other,Vermont,"University of California, San Diego",Stand-up Comedy,2024-11-05,The comic narrative was impressive. The improvisation was first-rate. Looking forward to future performances.,Very Satisfied
P205,Malik,57,Male,Hawaii,Indian Institute of Science,Drama,2024-11-05,The acting was moderate. The storyline was decent. The venue was well-suited to this type of event.,Satisfied
P206,Jasmine,33,Male,New York,Columbia University,Film Screening,2024-11-05,The directorial approach was decent. The character development was extraordinary. I valued the atmosphere.,Satisfied
P207,Omar,56,Other,Tennessee,"University of California, Los Angeles",Poetry,2024-11-05,The verse structure was phenomenal. The thematic exploration was masterful. ,Very Satisfied
P208,Quinn,63,Male,Minnesota,University of Washington,Music,2024-11-02,The melody was deficient. The instrumental solos were deficient.,Very Dissatisfied
P209,Aiden,34,Female,New Jersey,"University of California, Los Angeles",Art Exhibition,2024-11-01,The visual impact of the exhibition was adequate. The thematic coherence was brilliant.,Satisfied
P210,Brooklyn,26,Other,Nevada,Fudan University,Dance,2024-11-05,The dance ensemble was flawed synchronized. The stage presence was bland. Looking forward to the next edition.,Very Dissatisfied
P211,Oliver,50,Female,Montana,Northwestern University,Fashion Show,2024-11-05,The styling was typical. The thematic coherence was mediocre. ,Dissatisfied
P212,Luna,58,Male,Minnesota,Boston University,Art Exhibition,2024-11-05,The visual impact of the exhibition was moderate. The thematic coherence was sufficient. Looking forward to future performances.,Neutral
P213,Carter,63,Male,Alabama,Ohio State University,Debate,2024-11-03,The debating technique was brilliant. The overall engagement was outstanding. It was my first time attending such an event.,Satisfied
P214,Hazel,61,Male,Ohio,University of Maryland,Dance,2024-11-03,"The choreography was moderate. Overall, the dancers showed mediocre skill.",Dissatisfied
P215,Sebastian,33,Female,Nebraska,University of Illinois Urbana-Champaign,Poetry,2024-11-01,The metaphorical content was impressive. The poets' presence was excellent.,Satisfied
P216,Aurora,65,Female,Utah,University of Michigan,Art Exhibition,2024-11-03,The artwork displayed was masterful. The curation was masterful. It was my first time attending such an event.,Satisfied
P217,Wyatt,34,Male,Massachusetts,Oxford University,Film Screening,2024-11-02,The screenplay was disappointing. The emotional impact was uninspired.,Very Dissatisfied
P218,Violet,51,Male,Ohio,Tsinghua University,Debate,2024-11-02,The topic exploration was superb. The counterpoints were fair. Looking forward to the next edition.,Satisfied
P219,Gabriel,25,Female,Kansas,University College London,Film Screening,2024-11-02,The cinematography was phenomenal. The narrative pacing was stellar. Looking forward to the next edition.,Very Satisfied
P220,Nova,41,Female,Maine,MIT,Debate,2024-11-04,The logical structure was decent. The rhetorical skill was passable. It was my first time attending such an event.,Satisfied
P221,Julian,31,Female,Vermont,Tsinghua University,Fashion Show,2024-11-01,The fabric choices were poor. The overall aesthetic was mediocre. I really enjoyed the experience.,Dissatisfied
P222,Scarlett,22,Female,New Hampshire,University of Illinois Urbana-Champaign,Art Exhibition,2024-11-03,The color schemes were average. The interpretive descriptions were decent. Looking forward to similar events.,Satisfied
P223,Leo,62,Female,Utah,Cornell University,Stand-up Comedy,2024-11-05,The comedic delivery was inadequate. The material was lackluster. Looking forward to similar events.,Very Dissatisfied
P224,Audrey,36,Other,Oklahoma,Harvard University,Drama,2024-11-03,The cast chemistry was fair. The narrative structure was adequate. I really enjoyed the atmosphere.,Neutral
P225,Levi,44,Female,Iowa,University of Michigan,Debate,2024-11-02,The debating technique was mediocre. The overall engagement was ordinary.,Dissatisfied
P226,Bella,53,Male,California,University of Notre Dame,Debate,2024-11-01,The evidence provided was adequate. The speakers' delivery was satisfactory. I would definitely recommend this to friends.,Neutral
P227,Isaac,49,Male,Oregon,Oxford University,Cooking Competition,2024-11-03,The cooking technique was masterful. The overall execution was phenomenal.,Very Satisfied
P228,Claire,35,Female,New Hampshire,Indian Institute of Technology Bombay,Drama,2024-11-03,The dialogues were amazing. The plot progression was moderate.,Satisfied
P229,Mateo,30,Male,South Dakota,University of Melbourne,Music,2024-11-01,The musical arrangement was forgettable. The vocalists were inadequate.,Very Dissatisfied
P230,Skylar,43,Male,North Carolina,Indian Institute of Technology Bombay,Cooking Competition,2024-11-03,The cooking technique was fair. The overall execution was passable. Looking forward to future performances.,Dissatisfied
P231,Samuel,54,Female,Iowa,MIT,Drama,2024-11-04,The emotional depth of the performance was satisfactory. The staging was adequate. I would definitely recommend this to friends.,Neutral
P232,Paisley,20,Other,Louisiana,Rice University,Stand-up Comedy,2024-11-01,The comedic delivery was incredible. The material was marvelous. I appreciated the occasion.,Very Satisfied
P233,Lincoln,42,Other,Minnesota,Carnegie Mellon University,Art Exhibition,2024-11-05,The color schemes were sufficient. The interpretive descriptions were excellent. It was my first time attending such an event.,Satisfied
P234,Savannah,56,Female,Michigan,Ohio State University,Music,2024-11-02,The musical arrangement was sufficient. The vocalists were sufficient. I valued the experience.,Satisfied
P235,Caleb,26,Female,Hawaii,Princeton University,Dance,2024-11-05,The rhythm and movement were bland. The technical execution was acceptable.,Dissatisfied
P236,Isla,48,Male,Pennsylvania,Pennsylvania State University,Fashion Show,2024-11-05,The fashion collection was unsatisfactory. The models' walks were weak. I liked the experience.,Dissatisfied
P237,Owen,24,Male,Georgia,University of Minnesota,Debate,2024-11-05,The debating technique was brilliant. The overall engagement was masterful. It was my third time attending such an event.,Satisfied
P238,Genesis,52,Female,Arizona,Georgia Institute of Technology,Fashion Show,2024-11-05,The fashion innovation was average. The show production was top-notch. The venue was well-suited to this type of event.,Satisfied
P239,Hudson,23,Male,Alabama,"University of California, Berkeley",Debate,2024-11-04,The arguments presented were typical. The rebuttals were ordinary.,Neutral
P240,Naomi,45,Female,Oregon,University of Sydney,Poetry,2024-11-03,The metaphorical content was amazing. The poets' presence was magnificent. Looking forward to the next edition.,Very Satisfied
P241,Jethro,34,Other,Florida,University of North Carolina at Chapel Hill,Cooking Competition,2024-11-03,The dish presentation was top-notch. The flavor combinations were ordinary.,Satisfied
P242,Eileen,42,Other,Rhode Island,Indian Institute of Technology Delhi,Dance,2024-11-01,The dancers demonstrated fair coordination. The performance was fair.,Dissatisfied
P243,Kusuma,43,Female,Wyoming,Princeton University,Debate,2024-11-03,The logical structure was wonderful. The rhetorical skill was top-notch. Looking forward to similar events.,Very Satisfied
P244,Tushar,62,Male,Tennessee,Duke University,Drama,2024-11-01,The acting was fair. The storyline was adequate. Looking forward to the next edition.,Neutral
P245,BoBo,53,Male,Louisiana,Carnegie Mellon University,Debate,2024-11-05,The logical structure was typical. The rhetorical skill was satisfactory. I valued the occasion.,Neutral
P246,Elza,39,Female,Oregon,University of Minnesota,Debate,2024-11-03,The evidence provided was top-notch. The speakers' delivery was stellar.,Very Satisfied
P247,Dave,48,Male,Vermont,Boston University,Music,2024-11-04,The band's performance was unimpressive and the acoustics were sufficient.,Dissatisfied
P248,Donkin,61,Female,New Mexico,University of Michigan,Stand-up Comedy,2024-11-01,The comedic delivery was masterful. The material was brilliant.,Very Satisfied
P249,Iba,34,Male,Georgia,Carnegie Mellon University,Art Exhibition,2024-11-02,The artwork displayed was impressive. The curation was remarkable. The venue was appropriate for this type of event.,Very Satisfied
P250,Morningstar,54,Female,Montana,Northwestern University,Film Screening,2024-11-02,The acting performances were incredible. The storyline was exceptional. ,Very Satisfied
